|                         Tasks                         |Version|Filter|n-shot|        Metric         |   | Value |   |Stderr|
| - ceval-valid_high_school_politics                    |      2|none  |     0|acc                    |↑  | 0.7368|±  |0.1038|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.7368|±  |0.1038|
| - ceval-valid_ideological_and_moral_cultivation       |      2|none  |     0|acc                    |↑  | 0.9474|±  |0.0526|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.9474|±  |0.0526|
| - ceval-valid_law                                     |      2|none  |     0|acc                    |↑  | 0.3333|±  |0.0983|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3333|±  |0.0983|
| - ceval-valid_legal_professional                      |      2|none  |     0|acc                    |↑  | 0.2609|±  |0.0936|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.2609|±  |0.0936|
| - ceval-valid_logic                                   |      2|none  |     0|acc                    |↑  | 0.5000|±  |0.1091|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5000|±  |0.1091|
| - ceval-valid_mao_zedong_thought                      |      2|none  |     0|acc                    |↑  | 0.7500|±  |0.0903|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.7500|±  |0.0903|
| - ceval-valid_marxism                                 |      2|none  |     0|acc                    |↑  | 0.5789|±  |0.1164|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5789|±  |0.1164|
| - ceval-valid_metrology_engineer                      |      2|none  |     0|acc                    |↑  | 0.5833|±  |0.1028|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5833|±  |0.1028|
| - ceval-valid_middle_school_biology                   |      2|none  |     0|acc                    |↑  | 0.6667|±  |0.1054|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.6667|±  |0.1054|
| - ceval-valid_middle_school_chemistry                 |      2|none  |     0|acc                    |↑  | 0.6000|±  |0.1124|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.6000|±  |0.1124|
| - ceval-valid_middle_school_geography                 |      2|none  |     0|acc                    |↑  | 0.4167|±  |0.1486|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.4167|±  |0.1486|
| - ceval-valid_middle_school_history                   |      2|none  |     0|acc                    |↑  | 0.6818|±  |0.1016|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.6818|±  |0.1016|
| - ceval-valid_middle_school_mathematics               |      2|none  |     0|acc                    |↑  | 0.3158|±  |0.1096|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3158|±  |0.1096|
| - ceval-valid_middle_school_physics                   |      2|none  |     0|acc                    |↑  | 0.4737|±  |0.1177|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.4737|±  |0.1177|
| - ceval-valid_middle_school_politics                  |      2|none  |     0|acc                    |↑  | 0.7143|±  |0.1010|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.7143|±  |0.1010|
| - ceval-valid_modern_chinese_history                  |      2|none  |     0|acc                    |↑  | 0.5652|±  |0.1057|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5652|±  |0.1057|
| - ceval-valid_operating_system                        |      2|none  |     0|acc                    |↑  | 0.5789|±  |0.1164|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5789|±  |0.1164|
| - ceval-valid_physician                               |      2|none  |     0|acc                    |↑  | 0.5714|±  |0.0714|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5714|±  |0.0714|
| - ceval-valid_plant_protection                        |      2|none  |     0|acc                    |↑  | 0.7273|±  |0.0972|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.7273|±  |0.0972|
| - ceval-valid_probability_and_statistics              |      2|none  |     0|acc                    |↑  | 0.2778|±  |0.1086|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.2778|±  |0.1086|
| - ceval-valid_professional_tour_guide                 |      2|none  |     0|acc                    |↑  | 0.4828|±  |0.0944|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.4828|±  |0.0944|
| - ceval-valid_sports_science                          |      2|none  |     0|acc                    |↑  | 0.3684|±  |0.1137|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3684|±  |0.1137|
| - ceval-valid_tax_accountant                          |      2|none  |     0|acc                    |↑  | 0.4694|±  |0.0720|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.4694|±  |0.0720|
| - ceval-valid_teacher_qualification                   |      2|none  |     0|acc                    |↑  | 0.6136|±  |0.0743|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.6136|±  |0.0743|
| - ceval-valid_urban_and_rural_planner                 |      2|none  |     0|acc                    |↑  | 0.6522|±  |0.0710|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.6522|±  |0.0710|
| - ceval-valid_veterinary_medicine                     |      2|none  |     0|acc                    |↑  | 0.5217|±  |0.1065|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5217|±  |0.1065|
|hellaswag                                              |      1|none  |     0|acc                    |↑  | 0.4086|±  |0.0049|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5288|±  |0.0050|
|ifeval                                                 |      4|none  |     0|inst_level_loose_acc   |↑  | 0.2302|±  |   N/A|
|                                                       |       |none  |     0|inst_level_strict_acc  |↑  | 0.2218|±  |   N/A|
|                                                       |       |none  |     0|prompt_level_loose_acc |↑  | 0.1294|±  |0.0144|
|                                                       |       |none  |     0|prompt_level_strict_acc|↑  | 0.1201|±  |0.0140|
|longbench_2wikimqa                                     |      5|none  |     0|qa_f1_score            |↑  | 0.1736|±  |0.0209|
|                                                       |       |none  |     0|score                  |↑  | 0.1736|±  |0.0209|
|longbench_2wikimqa_e                                   |      5|none  |     0|qa_f1_score            |↑  | 0.1679|±  |0.0163|
|                                                       |       |none  |     0|score                  |↑  | 0.1679|±  |0.0163|
|longbench_dureader                                     |      5|none  |     0|rouge_zh_score         |↑  | 0.2306|±  |0.0140|
|                                                       |       |none  |     0|score                  |↑  | 0.2306|±  |0.0140|
|longbench_gov_report                                   |      5|none  |     0|rouge_score            |↑  | 0.2768|±  |0.0074|
|                                                       |       |none  |     0|score                  |↑  | 0.2768|±  |0.0074|
|longbench_gov_report_e                                 |      5|none  |     0|rouge_score            |↑  | 0.2732|±  |0.0051|
|                                                       |       |none  |     0|score                  |↑  | 0.2732|±  |0.0051|
|longbench_hotpotqa                                     |      5|none  |     0|qa_f1_score            |↑  | 0.1857|±  |0.0206|
|                                                       |       |none  |     0|score                  |↑  | 0.1857|±  |0.0206|
|longbench_hotpotqa_e                                   |      5|none  |     0|qa_f1_score            |↑  | 0.2109|±  |0.0175|
|                                                       |       |none  |     0|score                  |↑  | 0.2109|±  |0.0175|
|longbench_lcc                                          |      5|none  |     0|code_sim_score         |↑  | 0.0432|±  |0.0044|
|                                                       |       |none  |     0|score                  |↑  | 0.0432|±  |0.0044|
|longbench_lcc_e                                        |      5|none  |     0|code_sim_score         |↑  | 0.0709|±  |0.0087|
|                                                       |       |none  |     0|score                  |↑  | 0.0709|±  |0.0087|
|longbench_lsht                                         |      5|none  |     0|classification_score   |↑  | 0.2675|±  |0.0277|
|                                                       |       |none  |     0|score                  |↑  | 0.2675|±  |0.0277|
|longbench_multi_news                                   |      5|none  |     0|rouge_score            |↑  | 0.2367|±  |0.0064|
|                                                       |       |none  |     0|score                  |↑  | 0.2367|±  |0.0064|
|longbench_multi_news_e                                 |      5|none  |     0|rouge_score            |↑  | 0.2055|±  |0.0045|
|                                                       |       |none  |     0|score                  |↑  | 0.2055|±  |0.0045|
|longbench_multifieldqa_en                              |      5|none  |     0|qa_f1_score            |↑  | 0.3754|±  |0.0253|
|                                                       |       |none  |     0|score                  |↑  | 0.3754|±  |0.0253|
|longbench_multifieldqa_en_e                            |      5|none  |     0|qa_f1_score            |↑  | 0.3754|±  |0.0253|
|                                                       |       |none  |     0|score                  |↑  | 0.3754|±  |0.0253|
|longbench_multifieldqa_zh                              |      5|none  |     0|qa_f1_zh_score         |↑  | 0.3665|±  |0.0189|
|                                                       |       |none  |     0|score                  |↑  | 0.3665|±  |0.0189|
|longbench_musique                                      |      5|none  |     0|qa_f1_score            |↑  | 0.0893|±  |0.0132|
|                                                       |       |none  |     0|score                  |↑  | 0.0893|±  |0.0132|
|longbench_narrativeqa                                  |      5|none  |     0|qa_f1_score            |↑  | 0.0363|±  |0.0035|
|                                                       |       |none  |     0|score                  |↑  | 0.0363|±  |0.0035|
|longbench_passage_count                                |      5|none  |     0|count_score            |↑  | 0.0050|±  |0.0050|
|                                                       |       |none  |     0|score                  |↑  | 0.0050|±  |0.0050|
|longbench_passage_count_e                              |      5|none  |     0|count_score            |↑  | 0.0000|±  |     0|
|                                                       |       |none  |     0|score                  |↑  | 0.0000|±  |     0|
|longbench_passage_retrieval_en                         |      5|none  |     0|retrieval_score        |↑  | 0.1150|±  |0.0226|
|                                                       |       |none  |     0|score                  |↑  | 0.1150|±  |0.0226|
|longbench_passage_retrieval_en_e                       |      5|none  |     0|retrieval_score        |↑  | 0.2033|±  |0.0233|
|                                                       |       |none  |     0|score                  |↑  | 0.2033|±  |0.0233|
|longbench_qasper                                       |      5|none  |     0|qa_f1_score            |↑  | 0.2277|±  |0.0153|
|                                                       |       |none  |     0|score                  |↑  | 0.2277|±  |0.0153|
|longbench_qasper_e                                     |      5|none  |     0|qa_f1_score            |↑  | 0.2072|±  |0.0147|
|                                                       |       |none  |     0|score                  |↑  | 0.2072|±  |0.0147|
|longbench_qmsum                                        |      5|none  |     0|rouge_score            |↑  | 0.2199|±  |0.0052|
|                                                       |       |none  |     0|score                  |↑  | 0.2199|±  |0.0052|
|longbench_repobench-p                                  |      5|none  |     0|code_sim_score         |↑  | 0.1276|±  |0.0104|
|                                                       |       |none  |     0|score                  |↑  | 0.1276|±  |0.0104|
|longbench_repobench-p_e                                |      5|none  |     0|code_sim_score         |↑  | 0.1407|±  |0.0134|
|                                                       |       |none  |     0|score                  |↑  | 0.1407|±  |0.0134|
|longbench_samsum                                       |      5|none  |     0|rouge_score            |↑  | 0.3130|±  |0.0082|
|                                                       |       |none  |     0|score                  |↑  | 0.3130|±  |0.0082|
|longbench_samsum_e                                     |      5|none  |     0|rouge_score            |↑  | 0.3018|±  |0.0065|
|                                                       |       |none  |     0|score                  |↑  | 0.3018|±  |0.0065|
|longbench_trec                                         |      5|none  |     0|classification_score   |↑  | 0.3542|±  |0.0220|
|                                                       |       |none  |     0|score                  |↑  | 0.3542|±  |0.0220|
|longbench_trec_e                                       |      5|none  |     0|classification_score   |↑  | 0.3383|±  |0.0182|
|                                                       |       |none  |     0|score                  |↑  | 0.3383|±  |0.0182|
|longbench_triviaqa                                     |      5|none  |     0|qa_f1_score            |↑  | 0.1926|±  |0.0077|
|                                                       |       |none  |     0|score                  |↑  | 0.1926|±  |0.0077|
|longbench_triviaqa_e                                   |      5|none  |     0|qa_f1_score            |↑  | 0.1920|±  |0.0063|
|                                                       |       |none  |     0|score                  |↑  | 0.1920|±  |0.0063|
|longbench_vcsum                                        |      5|none  |     0|rouge_zh_score         |↑  | 0.0073|±  |0.0022|
|                                                       |       |none  |     0|score                  |↑  | 0.0073|±  |0.0022|
|mmlu                                                   |      2|none  |      |acc                    |↑  | 0.5029|±  |0.0041|
| - humanities                                          |      2|none  |      |acc                    |↑  | 0.4344|±  |0.0070|
|  - formal_logic                                       |      1|none  |     0|acc                    |↑  | 0.3413|±  |0.0424|
|  - high_school_european_history                       |      1|none  |     0|acc                    |↑  | 0.6242|±  |0.0378|
|  - high_school_us_history                             |      1|none  |     0|acc                    |↑  | 0.5588|±  |0.0348|
|  - high_school_world_history                          |      1|none  |     0|acc                    |↑  | 0.6414|±  |0.0312|
|  - international_law                                  |      1|none  |     0|acc                    |↑  | 0.6612|±  |0.0432|
|  - jurisprudence                                      |      1|none  |     0|acc                    |↑  | 0.5741|±  |0.0478|
|  - logical_fallacies                                  |      1|none  |     0|acc                    |↑  | 0.5460|±  |0.0391|
|  - moral_disputes                                     |      1|none  |     0|acc                    |↑  | 0.5462|±  |0.0268|
|  - moral_scenarios                                    |      1|none  |     0|acc                    |↑  | 0.2346|±  |0.0142|
|  - philosophy                                         |      1|none  |     0|acc                    |↑  | 0.5305|±  |0.0283|
|  - prehistory                                         |      1|none  |     0|acc                    |↑  | 0.5463|±  |0.0277|
|  - professional_law                                   |      1|none  |     0|acc                    |↑  | 0.3670|±  |0.0123|
|  - world_religions                                    |      1|none  |     0|acc                    |↑  | 0.5673|±  |0.0380|
| - other                                               |      2|none  |      |acc                    |↑  | 0.5607|±  |0.0088|
|  - business_ethics                                    |      1|none  |     0|acc                    |↑  | 0.5300|±  |0.0502|
|  - clinical_knowledge                                 |      1|none  |     0|acc                    |↑  | 0.5623|±  |0.0305|
|  - college_medicine                                   |      1|none  |     0|acc                    |↑  | 0.5434|±  |0.0380|
|  - global_facts                                       |      1|none  |     0|acc                    |↑  | 0.3700|±  |0.0485|
|  - human_aging                                        |      1|none  |     0|acc                    |↑  | 0.5291|±  |0.0335|
|  - management                                         |      1|none  |     0|acc                    |↑  | 0.6990|±  |0.0454|
|  - marketing                                          |      1|none  |     0|acc                    |↑  | 0.7863|±  |0.0269|
|  - medical_genetics                                   |      1|none  |     0|acc                    |↑  | 0.5700|±  |0.0498|
|  - miscellaneous                                      |      1|none  |     0|acc                    |↑  | 0.5862|±  |0.0176|
|  - nutrition                                          |      1|none  |     0|acc                    |↑  | 0.5915|±  |0.0281|
|  - professional_accounting                            |      1|none  |     0|acc                    |↑  | 0.4255|±  |0.0295|
|  - professional_medicine                              |      1|none  |     0|acc                    |↑  | 0.5294|±  |0.0303|
|  - virology                                           |      1|none  |     0|acc                    |↑  | 0.4458|±  |0.0387|
| - social sciences                                     |      2|none  |      |acc                    |↑  | 0.5814|±  |0.0088|
|  - econometrics                                       |      1|none  |     0|acc                    |↑  | 0.3772|±  |0.0456|
|  - high_school_geography                              |      1|none  |     0|acc                    |↑  | 0.5808|±  |0.0352|
|  - high_school_government_and_politics                |      1|none  |     0|acc                    |↑  | 0.6114|±  |0.0352|
|  - high_school_macroeconomics                         |      1|none  |     0|acc                    |↑  | 0.5154|±  |0.0253|
|  - high_school_microeconomics                         |      1|none  |     0|acc                    |↑  | 0.5798|±  |0.0321|
|  - high_school_psychology                             |      1|none  |     0|acc                    |↑  | 0.7156|±  |0.0193|
|  - human_sexuality                                    |      1|none  |     0|acc                    |↑  | 0.5573|±  |0.0436|
|  - professional_psychology                            |      1|none  |     0|acc                    |↑  | 0.4984|±  |0.0202|
|  - public_relations                                   |      1|none  |     0|acc                    |↑  | 0.5545|±  |0.0476|
|  - security_studies                                   |      1|none  |     0|acc                    |↑  | 0.5551|±  |0.0318|
|  - sociology                                          |      1|none  |     0|acc                    |↑  | 0.7065|±  |0.0322|
|  - us_foreign_policy                                  |      1|none  |     0|acc                    |↑  | 0.6700|±  |0.0473|
| - stem                                                |      2|none  |      |acc                    |↑  | 0.4716|±  |0.0087|
|  - abstract_algebra                                   |      1|none  |     0|acc                    |↑  | 0.3300|±  |0.0473|
|  - anatomy                                            |      1|none  |     0|acc                    |↑  | 0.5185|±  |0.0432|
|  - astronomy                                          |      1|none  |     0|acc                    |↑  | 0.4934|±  |0.0407|
|  - college_biology                                    |      1|none  |     0|acc                    |↑  | 0.5278|±  |0.0417|
|  - college_chemistry                                  |      1|none  |     0|acc                    |↑  | 0.3800|±  |0.0488|
|  - college_computer_science                           |      1|none  |     0|acc                    |↑  | 0.4400|±  |0.0499|
|  - college_mathematics                                |      1|none  |     0|acc                    |↑  | 0.3600|±  |0.0482|
|  - college_physics                                    |      1|none  |     0|acc                    |↑  | 0.3137|±  |0.0462|
|  - computer_security                                  |      1|none  |     0|acc                    |↑  | 0.6700|±  |0.0473|
|  - conceptual_physics                                 |      1|none  |     0|acc                    |↑  | 0.4851|±  |0.0327|
|  - electrical_engineering                             |      1|none  |     0|acc                    |↑  | 0.5862|±  |0.0410|
|  - elementary_mathematics                             |      1|none  |     0|acc                    |↑  | 0.4286|±  |0.0255|
|  - high_school_biology                                |      1|none  |     0|acc                    |↑  | 0.6710|±  |0.0267|
|  - high_school_chemistry                              |      1|none  |     0|acc                    |↑  | 0.5025|±  |0.0352|
|  - high_school_computer_science                       |      1|none  |     0|acc                    |↑  | 0.5800|±  |0.0496|
|  - high_school_mathematics                            |      1|none  |     0|acc                    |↑  | 0.3593|±  |0.0293|
|  - high_school_physics                                |      1|none  |     0|acc                    |↑  | 0.3046|±  |0.0376|
|  - high_school_statistics                             |      1|none  |     0|acc                    |↑  | 0.4815|±  |0.0341|
|  - machine_learning                                   |      1|none  |     0|acc                    |↑  | 0.3571|±  |0.0455|
|niah_single_1                                          |      1|none  |     0|1024                   |   | 1.0000|±  |     0|
|                                                       |       |none  |     0|16384                  |↑  | 1.0000|±  |   N/A|
|                                                       |       |none  |     0|2048                   |   | 1.0000|±  |     0|
|                                                       |       |none  |     0|32768                  |↑  | 1.0000|±  |   N/A|
|                                                       |       |none  |     0|4096                   |↑  | 1.0000|±  |   N/A|
|                                                       |       |none  |     0|8192                   |↑  | 1.0000|±  |   N/A|
|niah_single_2                                          |      1|none  |     0|1024                   |   | 1.0000|±  |     0|
|                                                       |       |none  |     0|16384                  |↑  | 1.0000|±  |   N/A|
|                                                       |       |none  |     0|2048                   |   | 1.0000|±  |     0|
|                                                       |       |none  |     0|32768                  |↑  | 0.9960|±  |   N/A|
|                                                       |       |none  |     0|4096                   |↑  | 1.0000|±  |   N/A|
|                                                       |       |none  |     0|8192                   |↑  | 1.0000|±  |   N/A|
|niah_single_3                                          |      1|none  |     0|1024                   |   | 1.0000|±  |     0|
|                                                       |       |none  |     0|16384                  |↑  | 0.9920|±  |   N/A|
|                                                       |       |none  |     0|2048                   |   | 1.0000|±  |     0|
|                                                       |       |none  |     0|32768                  |↑  | 0.9980|±  |   N/A|
|                                                       |       |none  |     0|4096                   |↑  | 1.0000|±  |   N/A|
|                                                       |       |none  |     0|8192                   |↑  | 1.0000|±  |   N/A|
|openbookqa                                             |      1|none  |     0|acc                    |↑  | 0.2480|±  |0.0193|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3520|±  |0.0214|
|piqa                                                   |      1|none  |     0|acc                    |↑  | 0.7089|±  |0.0106|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.7035|±  |0.0107|
|social_iqa                                             |      0|none  |     0|acc                    |↑  | 0.4202|±  |0.0112|
|truthfulqa_gen                                         |      3|none  |     0|bleu_acc               |↑  | 0.3684|±  |0.0169|
|                                                       |       |none  |     0|bleu_diff              |↑  |-0.2367|±  |0.0379|
|                                                       |       |none  |     0|bleu_max               |↑  | 1.4184|±  |0.0463|
|                                                       |       |none  |     0|rouge1_acc             |↑  | 0.4162|±  |0.0173|
|                                                       |       |none  |     0|rouge1_diff            |↑  |-0.4020|±  |0.0807|
|                                                       |       |none  |     0|rouge1_max             |↑  | 5.5385|±  |0.1004|
|                                                       |       |none  |     0|rouge2_acc             |↑  | 0.3305|±  |0.0165|
|                                                       |       |none  |     0|rouge2_diff            |↑  |-0.5467|±  |0.0839|
|                                                       |       |none  |     0|rouge2_max             |↑  | 3.3291|±  |0.0981|
|                                                       |       |none  |     0|rougeL_acc             |↑  | 0.3929|±  |0.0171|
|                                                       |       |none  |     0|rougeL_diff            |↑  |-0.4196|±  |0.0794|
|                                                       |       |none  |     0|rougeL_max             |↑  | 5.2898|±  |0.0984|
|truthfulqa_mc1                                         |      2|none  |     0|acc                    |↑  | 0.2840|±  |0.0158|
|truthfulqa_mc2                                         |      3|none  |     0|acc                    |↑  | 0.4362|±  |0.0145|
|winogrande                                             |      1|none  |     0|acc                    |↑  | 0.5856|±  |0.0138|
